tool name,flake8_issue_one,flake8_issue_two,flake8_issue_three,bandit_issue_one,bandit_issue_two,bandit_issue_three,bandit_sev_undefined,bandit_sev_low,bandit_sev_med,bandit_sev_high,bandit_conf_undefined,bandit_conf_low,bandit_conf_med,bandit_conf_high,radon_complexity,pylint_rating,bandit_lines
pointnet2,"E231 missing whitespace after ','",E226 missing whitespace around arithmetic operator,E225 missing whitespace around operator,[B101:assert_used],[B605:start_process_with_a_shell],,0.0,12.0,0.0,5.0,0.0,0.0,0.0,17.0,15.333333333333334,2.73,4848
wavenet_vocoder,E111 indentation is not a multiple of four,E266 too many leading '#' for block comment,E402 module level import not at top of file,[B101:assert_used],,,0.0,93.0,0.0,0.0,0.0,0.0,0.0,93.0,,,3374
NiftyNe,"E231 missing whitespace after ','",E226 missing whitespace around arithmetic operator,E225 missing whitespace around operator,[B101:assert_used],[B603:subprocess_without_shell_equals_true],[B404:blacklist],0.0,205.0,4.0,0.0,0.0,0.0,0.0,209.0,15.724137931034482,,48582
3D-ResNets-PyTorch,W292 no newline at end of file,W504 line break after binary operator,F401 'torch' imported but unused,[B101:assert_used],[B311:blacklist],[B603:subprocess_without_shell_equals_true],0.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,,6.47,3225
ffmpeg-python,E226 missing whitespace around arithmetic operator,"E231 missing whitespace after ','",W503 line break before binary operator,[B101:assert_used],[B603:subprocess_without_shell_equals_true],[B404:blacklist],0.0,112.0,4.0,0.0,0.0,0.0,1.0,115.0,,5.87,2748
human-pose-estimation.pytorch,E226 missing whitespace around arithmetic operator,E228 missing whitespace around modulo operator,W504 line break after binary operator,[B101:assert_used],[B307:blacklist],[B311:blacklist],0.0,15.0,10.0,0.0,0.0,0.0,0.0,25.0,,,2134
Person_reID_baseline_pytorch,"E231 missing whitespace after ','",E226 missing whitespace around arithmetic operator,E265 block comment should start with '# ',[B311:blacklist],[B605:start_process_with_a_shell],[B403:blacklist],0.0,6.0,2.0,4.0,0.0,0.0,0.0,12.0,,4.44,1524
finetune-transformer-lm,E226 missing whitespace around arithmetic operator,"E302 expected 2 blank lines, found 1",E231 missing whitespace after ':',[B101:assert_used],,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.04,733
exar,E265 block comment should start with '# ',W504 line break after binary operator,E126 continuation line over-indented for hanging indent,[B101:assert_used],[B106:hardcoded_password_funcarg],[B403:blacklist],0.0,107.0,16.0,2.0,0.0,0.0,21.0,104.0,14.807692307692308,8.28,41688
batch-ppo,E111 indentation is not a multiple of four,E114 indentation is not a multiple of four (comment),E125 continuation line with same indent as next logical line,[B101:assert_used],,,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,,-2.2,3683
NAB,E111 indentation is not a multiple of four,E226 missing whitespace around arithmetic operator,E121 continuation line under-indented for hanging indent,[B101:assert_used],[B108:hardcoded_tmp_directory],[B404:blacklist],0.0,28.0,1.0,0.0,0.0,0.0,1.0,28.0,15.142857142857142,,7662
Information-Extraction-Chinese,"E241 multiple spaces after ','",W293 blank line contains whitespace,E111 indentation is not a multiple of four,[B101:assert_used],[B301:blacklist],[B403:blacklist],0.0,8.0,2.0,0.0,0.0,0.0,0.0,10.0,,5.66,2211
foolbox,W503 line break before binary operator,E266 too many leading '#' for block comment,E203 whitespace before ':',[B101:assert_used],,,0.0,194.0,0.0,0.0,0.0,0.0,0.0,194.0,16.714285714285715,,8404
